SampleID;Transect;TransectX;x;Random;St_Larvae;YesNo;Depth;Depth_Bin;Velocity;VelocityBin;Froude;PhotoID;NCoverCL;Richness;Sper;SDI;TransectGroup;TGr;CoverCL;Cover_Class;Isonychiidae;Heptaginiidae;Perlidae;Perlodidae;Crayfish;Baetidae;Ephemerellidae;Hydropsychidae;Coenagrionidae;Gomphidae;Amphipoda;Lepidostomatidae;Thaumaleidae;Helicopsychidae;Chironomidae;Leptoceridae;Aeshnidae;Phryganeidae;Psephenidae;Elmidae;Athericidae;Philopotamidae;Brachycentridae;Caliopterygidae;Corydalidae;Diptera_sp;Glossosomatidae;Limnephilidae;Empididae;Pyralidae;Polycentropodidae;Simuliidae;Leptophlebiidae;Baetiscidae;Hydrophilidae;Annelida;Tabanidae;Odontoceridae;Ntot;EPTrichness;EPTN;SmoothBedrock;Fine;FMGravel;CoarseGravel;VeryCGravel;SmallCobble;LargeCobble;SAV;WoodDebris;InterSpace;Mussels;SubInd;Avg_Rock_Size;Med_Rock_Size;med_RS;Coeff_Var;Hyd;Lep;Eph;Hep;Elm;Iso;Bae;Bra;Gom;Chi
TS92;46,2;46;900;13;0;No;0,84;0,76-1,0;0,7;0,51-0,75;0,243850636;2972;3;9;0,24;1,296;Ten;10;Two;2;2;0;0;0;0;1;6;3;0;2;0;0;0;7;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;25;7;22;0;0,9764;0;0,0236;0;0;0;0;0;0;0;0,030472;41,03;41,03;41,03;0;1;0;1;0;1;1;1;1;1;0
TS93;47,1;47;920;7;0;No;1,3;1,01-1,5;0,52;0,51-0,75;0,145611999;2975;4;8;0,21;1,515;Ten;10;Two;2;0;1;0;0;0;0;3;0;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;16;29;5;24;0;0,7935;0,0278;0;0;0;0;0;0,1787;0;0;0,024917;8,17;7,59;7,59;0,266681992;0;0;1;1;1;0;0;0;1;0
TS94;47,2;47;920;18;0;No;0,34;0-0,5;0;0-0,25;0;2976;4;6;0,16;1,586;Ten;10;Two;2;0;0;0;0;0;0;0;0;0;5;2;0;0;0;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;1;0;0,8555;0,0627;0,0232;0;0;0;0;0,0586;0;0;0,029333;13,83;12,83;12,8325;0,247092102;0;0;0;0;1;0;0;0;1;1
TS95;48,1;48;940;13;0;No;0,72;0,51-0,75;0,21;0-0,25;0,079016637;2977;4;7;0,18;1,802;Ten;10;Five;5;0;0;0;0;0;0;4;0;0;4;1;6;0;2;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;4;20;0;0,1201;0,2463;0,576;0,0576;0;0;0;0;0;0;0,045135;14,64;13,67;13,67;0,499151314;0;1;1;0;1;0;0;1;1;0
TS96;48,2;48;940;10;0;No;1,18;1,01-1,5;0,33;0,25-0,5;0,096992562;2978;5;6;0,16;1,738;Ten;10;Four;4;0;1;0;0;0;2;3;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5;11;0;0,0939;0,3921;0,3707;0,1434;0;0;0;0;0;0;0,044206;9,78;7,87;7,865;0,703499483;0;1;1;1;1;0;1;1;0;0
TS97;49,1;49;960;8;0;No;0,68;0,51-0,75;0,78;0,75-1,0;0,301999096;2979;5;7;0,18;1,408;Ten;10;Six;6;1;12;0;0;0;2;9;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;5;25;0;0,0274;0,1353;0,3623;0,3931;0,0818;0;0;0;0;0;0,048912;15,64;11,44;11,44;0,819326519;1;0;1;1;1;1;1;0;1;0
TS98;49,2;49;960;5;0;No;0,86;0,76-1,0;0,54;0,51-0,75;0,185913116;2980;5;4;0,11;1,277;Ten;10;Four;4;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;4;0;0,1853;0,3103;0,3091;0,1738;0;0;0;0;0;0,0216;0,042116;11,09;8,98;8,975;0,67244557;0;0;1;1;1;0;0;0;0;0
TS99;50,1;50;980;8;0;No;1,06;1,01-1,5;0,52;0,51-0,75;0,161256009;2981;4;9;0,24;1,923;Ten;10;Two;2;1;4;0;0;0;0;7;3;0;2;0;0;2;8;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;29;5;23;0;0,5101;0,156;0,1558;0,11;0;0;0;0;0;0,0681;0,034833;11,64;8,62;8,62;0,670020452;1;0;1;1;1;1;0;0;1;0
TS100;50,2;50;980;12;0;No;0,76;0,76-1,0;0,5;0,25-0,5;0,183117017;2982;5;5;0,13;1,505;Ten;10;Four;4;0;0;0;0;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;10;3;8;0;0,1316;0,3511;0,1772;0,3401;0;0;0;0;0;0;0,043857;10,15;7,96;7,9625;0,745911262;0;1;0;0;1;0;1;0;0;1
TS101;51,1;51;1000;13;0;No;0,7;0,51-0,75;0,75;0,51-0,75;0,286205345;2983;6;11;0,29;2,064;Eleven;11;Two;2;3;11;0;0;0;2;22;5;0;5;0;3;0;5;0;0;0;0;0;7;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;67;7;51;0;0,452;0,4342;0,0662;0;0;0;0;0,011;0;0,0365;0,034238;8,67;7,7;7,7;0,404062324;1;1;1;1;1;1;1;0;1;0
TS102;51,2;51;1000;15;0;No;0,54;0,51-0,75;0,67;0,51-0,75;0,291100813;2984;4;7;0,18;1,767;Eleven;11;Five;5;0;1;0;0;0;0;4;2;0;3;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;19;4;8;0;0,1062;0,2526;0,295;0,2363;0,1025;0;0,0074;0;0;0;0,046005;12,4;8,47;8,465;0,885844427;1;1;1;1;1;0;0;0;1;0
TS103;52,1;52;1020;6;0;No;0,72;0,51-0,75;0,6;0,51-0,75;0,22576182;2985;5;13;0,34;2,356;Eleven;11;Four;4;0;3;1;0;0;0;6;2;0;1;0;0;0;5;2;0;0;0;0;6;1;0;0;0;1;0;2;0;2;2;0;0;0;0;0;0;0;0;34;6;19;0;0,2595;0,5982;0,1422;0;0;0;0;0;0;0;0,038823;5,72;4,61;4,6125;0,619980465;1;0;1;1;1;0;0;0;1;1
